Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF20349   | DJI         | Djibouti | Djibouti  | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF23397   | DJI         | Djibouti | Djibouti  | Ready        | Refused221g | 16-Jul-2023  |
| 2023AF25573   | DJI         | Djibouti | Djibouti  | Ready        | Refused     | 16-Jul-2023  |
| 2023AF26952   | DJI         | Djibouti | Djibouti  | Ready        | Refused     | 16-Jul-2023  |
| 2023AF27711   | DJI         | Djibouti | Djibouti  | Ready        | Refused221g | 16-Jul-2023  |
| 2023AS3623    | DJI         | Djibouti | Djibouti  | Refused221g  | Refused     | 16-Jul-2023  |
| 2023AS4573    | DJI         | Djibouti | Djibouti  | Refused221g  | Issued      | 16-Jul-2023  |
| 2023AS8819    | DJI         | Djibouti | Djibouti  | AP           | Issued      | 16-Jul-2023  |
+---------------+-------------+----------+-----------+--------------+-------------+--------------+
Consulate: DOH
